2018-07-16 17:49:22.462 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarted - Started AppMain in 2.369 seconds (JVM running for 1307.913)
2018-07-16 17:49:43.628 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarting - Starting AppMain on YULANG-PC with PID 8268 (G:\STS\e-parent\e-order-web\target\classes started by Administrator in G:\STS\e-parent\e-order-web)
2018-07-16 17:49:43.629 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-16 17:49:45.328 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarted - Started AppMain in 1.773 seconds (JVM running for 1330.779)
2018-07-16 17:50:27.737 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarting - Starting AppMain on YULANG-PC with PID 8268 (G:\STS\e-parent\e-order-web\target\classes started by Administrator in G:\STS\e-parent\e-order-web)
2018-07-16 17:50:27.738 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-16 17:50:30.196 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarted - Started AppMain in 2.55 seconds (JVM running for 1375.646)
2018-07-16 17:50:31.942 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarting - Starting AppMain on YULANG-PC with PID 8268 (G:\STS\e-parent\e-order-web\target\classes started by Administrator in G:\STS\e-parent\e-order-web)
2018-07-16 17:50:31.943 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-16 17:50:33.961 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarted - Started AppMain in 2.095 seconds (JVM running for 1379.412)
2018-07-16 17:53:25.309 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarting - Starting AppMain on YULANG-PC with PID 8268 (G:\STS\e-parent\e-order-web\target\classes started by Administrator in G:\STS\e-parent\e-order-web)
2018-07-16 17:53:25.310 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-16 17:53:34.303 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarted - Started AppMain in 9.338 seconds (JVM running for 1559.754)
2018-07-16 17:53:47.419 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarting - Starting AppMain on YULANG-PC with PID 8268 (G:\STS\e-parent\e-order-web\target\classes started by Administrator in G:\STS\e-parent\e-order-web)
2018-07-16 17:53:47.420 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-16 17:53:54.272 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarted - Started AppMain in 6.952 seconds (JVM running for 1579.722)
2018-07-16 17:54:13.085 logback [http-nio-8091-exec-1] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:_ga,cookieValue:GA1.1.1372512457.1529635355
2018-07-16 17:54:13.088 logback [http-nio-8091-exec-1] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:JSESSIONID,cookieValue:0C56FF85073E0381D32E1689365BBECD
2018-07-16 17:54:13.089 logback [http-nio-8091-exec-1] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:Hm_lpvt_91471a0372bbb1cae7dc43f903e2105e,cookieValue:1531708071
2018-07-16 17:54:13.089 logback [http-nio-8091-exec-1] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:gsScrollPos-14,cookieValue:
2018-07-16 17:54:21.234 logback [http-nio-8091-exec-3] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:_ga,cookieValue:GA1.1.1372512457.1529635355
2018-07-16 17:54:21.234 logback [http-nio-8091-exec-3] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:JSESSIONID,cookieValue:0C56FF85073E0381D32E1689365BBECD
2018-07-16 17:54:21.235 logback [http-nio-8091-exec-3] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:Hm_lpvt_91471a0372bbb1cae7dc43f903e2105e,cookieValue:1531708071
2018-07-16 17:54:21.235 logback [http-nio-8091-exec-3] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:gsScrollPos-14,cookieValue:
2018-07-16 18:00:09.246 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarting - Starting AppMain on YULANG-PC with PID 8268 (G:\STS\e-parent\e-order-web\target\classes started by Administrator in G:\STS\e-parent\e-order-web)
2018-07-16 18:00:09.246 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-16 18:00:15.133 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarted - Started AppMain in 6.035 seconds (JVM running for 1960.584)
2018-07-16 18:00:24.413 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarting - Starting AppMain on YULANG-PC with PID 8268 (G:\STS\e-parent\e-order-web\target\classes started by Administrator in G:\STS\e-parent\e-order-web)
2018-07-16 18:00:24.414 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStartupProfileInfo - No active profile set, falling back to default profiles: default
